Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC05_Logout,Chrome 114.0.0.0,,,2023-07-23 14:37:52,2023-07-23 14:38:15,23.210s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Logout,Chrome 114.0.0.0,,,2023-07-23 14:37:52,2023-07-23 14:38:15,22.668s,PASSED
login.Login.loginIntoApplicationWithGlobalVariable(),Chrome 114.0.0.0,,,2023-07-23 14:37:53,2023-07-23 14:38:11,17.870s,PASSED
"click(findTestObject(""Page_STORE/a_Logout""))",Chrome 114.0.0.0,,,2023-07-23 14:38:11,2023-07-23 14:38:14,2.715s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-23 14:38:14,2023-07-23 14:38:15,1.278s,PASSED
