Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC04_About Us,Chrome 114.0.0.0,,,2023-07-22 01:02:30,2023-07-22 01:03:08,37.499s,FAILED
,,,,,,,
Test Cases/Navigation Bar/About us,Chrome 114.0.0.0,,,2023-07-22 01:02:31,2023-07-22 01:03:08,37.124s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-22 01:02:31,2023-07-22 01:02:37,5.867s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-22 01:02:37,2023-07-22 01:02:37,0.471s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-22 01:02:37,2023-07-22 01:02:39,1.223s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_About us""))",Chrome 114.0.0.0,,,2023-07-22 01:02:39,2023-07-22 01:02:40,1.530s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/span_Video Player""))",Chrome 114.0.0.0,,,2023-07-22 01:02:40,2023-07-22 01:03:08,27.696s,FAILED
