Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC04_About Us,Chrome 114.0.0.0,,,2023-07-23 20:08:59,2023-07-23 20:10:56,1m - 57.098s,FAILED
,,,,,,,
Test Cases/Navigation Bar/About us,Chrome 114.0.0.0,,,2023-07-23 20:10:16,2023-07-23 20:10:56,39.771s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-23 20:10:16,2023-07-23 20:10:22,5.167s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-23 20:10:22,2023-07-23 20:10:22,0.434s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-23 20:10:22,2023-07-23 20:10:23,1.354s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_About us""))",Chrome 114.0.0.0,,,2023-07-23 20:10:23,2023-07-23 20:10:25,1.531s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/span_Video Player""))",Chrome 114.0.0.0,,,2023-07-23 20:10:25,2023-07-23 20:10:56,31.221s,FAILED
