Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC04_About Us,Chrome 114.0.0.0,,,2023-07-22 01:34:06,2023-07-22 01:34:20,14.223s,FAILED
,,,,,,,
Test Cases/Navigation Bar/About us,Chrome 114.0.0.0,,,2023-07-22 01:34:06,2023-07-22 01:34:20,13.831s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-22 01:34:07,2023-07-22 01:34:12,5.538s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-22 01:34:12,2023-07-22 01:34:13,0.501s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-22 01:34:13,2023-07-22 01:34:15,1.899s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_About us""))",Chrome 114.0.0.0,,,2023-07-22 01:34:15,2023-07-22 01:34:16,0.992s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/span_Video Player""))",Chrome 114.0.0.0,,,2023-07-22 01:34:16,2023-07-22 01:34:20,4.384s,FAILED
