Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC04_About Us,Chrome 114.0.0.0,,,2023-07-23 14:35:46,2023-07-23 14:38:10,2m - 24.456s,FAILED
,,,,,,,
Test Cases/Navigation Bar/About us,Chrome 114.0.0.0,,,2023-07-23 14:37:28,2023-07-23 14:38:10,42.300s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-23 14:37:28,2023-07-23 14:37:32,4.240s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-23 14:37:32,2023-07-23 14:37:33,0.421s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-23 14:37:33,2023-07-23 14:37:34,1.313s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_About us""))",Chrome 114.0.0.0,,,2023-07-23 14:37:34,2023-07-23 14:37:35,1.241s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/span_Video Player""))",Chrome 114.0.0.0,,,2023-07-23 14:37:35,2023-07-23 14:38:10,34.992s,FAILED
