Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC05_Logout,Chrome 114.0.0.0,,,2023-07-19 00:07:26,2023-07-19 00:07:44,18.348s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Logout,Chrome 114.0.0.0,,,2023-07-19 00:07:26,2023-07-19 00:07:44,17.712s,PASSED
login.Login.loginIntoApplicationWithGlobalVariable(),Chrome 114.0.0.0,,,2023-07-19 00:07:27,2023-07-19 00:07:40,13.328s,PASSED
"click(findTestObject(""Page_STORE/a_Logout""))",Chrome 114.0.0.0,,,2023-07-19 00:07:40,2023-07-19 00:07:42,2.188s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-19 00:07:42,2023-07-19 00:07:44,1.607s,PASSED
